City,Neighborhood,Latitude/Longitude,Latitude,Longitude
Durham,Albright Community,"[nan, nan]",,
Durham,American Tobacco District,"[35.99479205, -78.90463781810374]",35.99479205,-78.90463781810374
Durham,Auburn,"[35.9152775, -78.91324753679288]",35.9152775,-78.91324753679288
Durham,Breedlove,"[35.98605795, -78.8316742822716]",35.98605795,-78.8316742822716
Durham,Brightleaf District,"[nan, nan]",,
Durham,Burch Avenue,"[35.99940885, -78.9184151560645]",35.99940885,-78.9184151560645
Durham,CC Spaulding Community,"[nan, nan]",,
Durham,Campus Hill,"[nan, nan]",,
Durham,Central Park District,"[nan, nan]",,
Durham,City Center District,"[nan, nan]",,
Durham,Colonial Village,"[36.0252158, -78.8847203]",36.0252158,-78.8847203
Durham,Colvard Farms,"[35.8654581, -78.95822005153215]",35.8654581,-78.95822005153215
Durham,Crest Street,"[36.012535, -78.9399494586875]",36.012535,-78.9399494586875
Durham,Croasdaile Farm,"[36.0468566, -78.94925146549267]",36.0468566,-78.94925146549267
Durham,Delchester Court,"[35.938337, -78.8861546]",35.938337,-78.8861546
Durham,Downtown Durham,"[35.9967428, -78.9087290918234]",35.9967428,-78.9087290918234
Durham,Duke Forest,"[35.9782658, -79.0608759421757]",35.9782658,-79.0608759421757
Durham,Duke Homestead,"[36.035472999999996, -78.92120695272246]",36.035472999999996,-78.92120695272246
Durham,Duke Park,"[36.0114861, -78.8914927]",36.0114861,-78.8914927
Durham,Duke University,"[36.00015569999999, -78.94422972195878]",36.00015569999999,-78.94422972195878
Durham,East Durham,"[35.996653, -78.9018053]",35.996653,-78.9018053
Durham,Emoryville,"[nan, nan]",,
Durham,Fayetteville Street Corridor,"[nan, nan]",,
Durham,Forest Hills,"[35.982064, -78.91462475270562]",35.982064,-78.91462475270562
Durham,Government Services District,"[nan, nan]",,
Durham,Greysons Green,"[nan, nan]",,
Durham,Hillside Park,"[35.9808206, -78.90203393686771]",35.9808206,-78.90203393686771
Durham,Hope Valley,"[nan, nan]",,
Durham,Hope Valley Farms North,"[nan, nan]",,
Durham,Lakewood Park,"[nan, nan]",,
Durham,Latta Road,"[36.0776117, -78.9175529]",36.0776117,-78.9175529
Durham,Lyon Park,"[35.98599645, -78.9188044814841]",35.98599645,-78.9188044814841
Durham,Morrehead Hill,"[nan, nan]",,
Durham,North Garrett Road Community,"[nan, nan]",,
Durham,Northeast Central Durham,"[nan, nan]",,
Durham,Northgate Park,"[36.02332285, -78.89770274798576]",36.02332285,-78.89770274798576
Durham,Old Farm,"[36.069914, -78.90113344324641]",36.069914,-78.90113344324641
Durham,Old Five Points,"[36.0010432, -78.8954237]",36.0010432,-78.8954237
Durham,Old North Durham,"[36.0058545, -78.8945369]",36.0058545,-78.8945369
Durham,Old West Durham,"[36.010092799999995, -78.92585040757785]",36.010092799999995,-78.92585040757785
Durham,Omah Street Citizens,"[nan, nan]",,
Durham,Orange County Courtesy Review Area,"[nan, nan]",,
Durham,Parkside,"[54.8273042, -1.343390200921113]",54.8273042,-1.343390200921113
Durham,Parkwood,"[35.8918643, -78.9082689]",35.8918643,-78.9082689
Durham,Plum Street,"[53.849992, -1.9185088]",53.849992,-1.9185088
Durham,Regency at Brier Creek,"[nan, nan]",,
Durham,Research Triangle Park,"[35.89212155, -78.87154641285423]",35.89212155,-78.87154641285423
Durham,Rockwood,"[35.97315485, -78.92234080542559]",35.97315485,-78.92234080542559
Durham,Rosemont,"[35.8808803, -78.9267365]",35.8808803,-78.9267365
Durham,Sayward Drive,"[35.9505493, -78.986726]",35.9505493,-78.986726
Durham,South Durham,"[35.996653, -78.9018053]",35.996653,-78.9018053
Durham,Southeast Durham Joint Community Council,"[nan, nan]",,
Durham,Southwest Central Durham,"[35.996653, -78.9018053]",35.996653,-78.9018053
Durham,St. Teresa,"[nan, nan]",,
Durham,Stadium Heights,"[36.040699000000004, -78.90764671758194]",36.040699000000004,-78.90764671758194
Durham,Trinity Heights,"[36.010925, -78.9159066431018]",36.010925,-78.9159066431018
Durham,Trinity Park,"[36.0084978, -78.90779879229234]",36.0084978,-78.90779879229234
Durham,Tuscaloosa-Lakewood,"[nan, nan]",,
Durham,Valley Run,"[35.960199, -78.949209]",35.960199,-78.949209
Durham,Walltown,"[36.019189350000005, -78.91623533171737]",36.019189350000005,-78.91623533171737
Durham,Warehouse District,"[nan, nan]",,
Durham,Watts Hospital-Hillandale,"[36.02135534999999, -78.93216941967538]",36.02135534999999,-78.93216941967538
Durham,Wellons Village,"[35.994873, -78.866302]",35.994873,-78.866302
Durham,West End,"[35.9920551, -78.9221504]",35.9920551,-78.9221504
Durham,Woodcroft,"[35.9215526, -78.9480907]",35.9215526,-78.9480907
Durham,Woodlake,"[35.921314, -78.91942645270271]",35.921314,-78.91942645270271
Durham,Y. E. Smith Community Organization,"[nan, nan]",,
Raleigh,Abbington Ridge,"[35.72519345, -78.55644518110125]",35.72519345,-78.55644518110125
Raleigh,Adams Mountain,"[35.95288225, -78.64778055193334]",35.95288225,-78.64778055193334
Raleigh,Addison Reserve,"[nan, nan]",,
Raleigh,Alanda,"[nan, nan]",,
Raleigh,Alexander Place Townhomes,"[35.91290565, -78.77116012049126]",35.91290565,-78.77116012049126
Raleigh,Alexandria Square,"[nan, nan]",,
Raleigh,Alpha,"[35.765045, -78.69793050850322]",35.765045,-78.69793050850322
Raleigh,Alpine Forest,"[35.940754749999996, -78.65222493552977]",35.940754749999996,-78.65222493552977
Raleigh,Alslee Oaks,"[35.6903937, -78.74076441339346]",35.6903937,-78.74076441339346
Raleigh,Alta Oakridge,"[35.855128, -79.061834]",35.855128,-79.061834
Raleigh,Altice Estates,"[35.58111595, -78.63737316088275]",35.58111595,-78.63737316088275
Raleigh,Alyson Pond,"[35.89423405, -78.59447063671081]",35.89423405,-78.59447063671081
Raleigh,Amberfield,"[35.817399449999996, -78.55631796541135]",35.817399449999996,-78.55631796541135
